NAME,SITE,DATE,COUNT,TRANSECT,QUAD,PHYLUM,MOBILITY,GROWTH
0,0,36777,5,4.8,5.4,0,0,0
0,0,37489,10,4.625,5.25,0,0,0
0,0,37854,14,6.375,5.75,0,0,0
0,0,37855,8,5.2,5.4,0,0,0
0,0,38195,8,4.666666667,5.666666667,0,0,0
0,0,38196,21,6,5.444444444,0,0,0
0,0,38552,10,4.142857143,5.428571429,0,0,0
0,0,38553,11,6.75,5.5,0,0,0
0,0,38919,12,6.6,5.8,0,0,0
0,0,38923,3,4.5,6,0,0,0
0,0,39281,16,5.4,5.7,0,0,0
0,0,39288,5,6.5,5.5,0,0,0
0,0,39653,18,5.166666667,5.5,0,0,0
0,0,39654,5,3.75,5.75,0,0,0
0,0,40018,8,6.8,5.6,0,0,0
0,0,40024,16,5.375,5.625,0,0,0
0,0,40378,6,7,5.333333333,0,0,0
0,0,40380,13,4.75,5.375,0,0,0
0,0,40742,9,5,5.625,0,0,0
0,0,40746,6,6,5.666666667,0,0,0
0,0,41110,19,5.9,5.8,0,0,0
0,0,41472,5,5.5,5.5,0,0,0
0,0,41477,8,5.666666667,5.5,0,0,0
0,0,41836,7,6.8,5.2,0,0,0
0,0,43299,2,4,5.5,0,0,0
0,1,36787,33,2.93333333,4.93333333,0,0,0
0,1,36791,46,6.5,5.4375,0,0,0
0,1,37112,55,2.642857143,5.5,0,0,0
0,1,37119,84,6.4,5.466666667,0,0,0
0,1,37482,88,4.470588235,5.176470588,0,0,0
0,1,37483,91,4,5.416666667,0,0,0
0,1,37844,103,2.546875,5.234375,0,0,0
0,1,37845,111,6.266666667,5.133333333,0,0,0
0,1,38187,192,2.285714286,5.571428571,0,0,0
0,1,38188,127,6.5,5.428571429,0,0,0
0,1,38551,299,2.6875,5.3125,0,0,0
0,1,38562,141,6.545454545,5.363636364,0,0,0
0,1,38915,460,2.529411765,5.470588235,0,0,0
0,1,38916,343,6.529411765,5.205882353,0,0,0
0,1,39286,960,2.5,5.5,0,0,0
0,1,39287,503,6.4,5.466666667,0,0,0
0,1,39657,606,6.466666667,5.466666667,0,0,0
0,1,39661,652,2.529411765,5.382352941,0,0,0
0,1,40015,866,3.6,5.5,0,0,0
0,1,40016,837,6,5.5,0,0,0
0,1,40386,921,3.176470588,5.470588235,0,0,0
0,1,40387,693,6.058823529,5.235294118,0,0,0
0,1,40743,1190,3.5,5.5,0,0,0
0,1,40745,346,7.5,5.5,0,0,0
0,1,41108,1393,4.5,5.5,0,0,0
0,1,41481,622,6.5,5.5,0,0,0
0,1,41486,812,2.5,5.5,0,0,0
0,1,41844,636,4.6,5.333333333,0,0,0
0,1,42212,84,4.769230769,5.5,0,0,0
0,1,42577,24,5.888888889,5.888888889,0,0,0
0,1,42940,22,6.625,5.625,0,0,0
0,1,42941,8,3.25,5.5,0,0,0
0,1,43297,164,4.32,5.48,0,0,0
0,2,36797,1,6,5,0,0,0
0,2,39282,2,1,5,0,0,0
0,2,39658,1,1,5,0,0,0
0,2,41837,1,6,6,0,0,0
0,2,42576,1,6,6,0,0,0
0,2,43314,1,3,5,0,0,0
0,3,37110,2,2,6,0,0,0
0,3,37488,4,1.5,5.5,0,0,0
0,3,37860,8,1.5,5.5,0,0,0
0,3,38190,7,1.8,5.2,0,0,0
0,3,38555,12,1.6,5.2,0,0,0
0,3,38925,12,2,5.5,0,0,0
0,3,39279,16,1.6,5.6,0,0,0
0,3,39660,13,1.428571429,5.571428571,0,0,0
0,3,40017,14,1.428571429,5.571428571,0,0,0
0,3,40382,4,1.666666667,5.333333333,0,0,0
0,3,40744,11,1.5,5.5,0,0,0
0,3,41107,15,1.625,4.875,0,0,0
0,3,41478,8,1.6,5.6,0,0,0
0,3,41838,4,1.5,5.5,0,0,0
0,4,37859,2,1.5,6,0,0,0
0,4,38189,4,2,5.5,0,0,0
0,4,38580,1,2,6,0,0,0
0,4,38918,2,2,6,0,0,0
0,4,39279,5,1.333333333,5.333333333,0,0,0
0,4,40014,1,2,5,0,0,0
0,4,40379,36,1.5,4.4,0,0,0
0,4,41109,3,1,5.5,0,0,0
0,4,41479,2,1.5,5.5,0,0,0
0,4,41838,4,2,5.5,0,0,0
0,4,42569,1,1,5,0,0,0
0,5,39283,1,2,6,0,0,0
0,5,39651,1,2,5,0,0,0
0,5,40014,1,2,6,0,0,0
0,5,40842,5,3,5.5,0,0,0
0,5,40844,2,5,5,0,0,0
0,5,41109,1,3,5,0,0,0
0,5,41479,7,4.8,5,0,0,0
0,5,41841,5,5.25,4.25,0,0,0
0,6,37124,2,3,5,0,0,0
0,6,37495,3,1.5,6,0,0,0
0,6,37858,4,2,5.666666667,0,0,0
0,6,38191,18,4,5.545454545,0,0,0
0,6,38561,7,4.166666667,5.5,0,0,0
0,6,38924,31,3.7,5.7,0,0,0
0,6,39280,23,3.75,5.583333333,0,0,0
0,6,39652,28,3.8,5.4,0,0,0
0,6,40009,28,4.5,5.5,0,0,0
0,6,40021,14,3,5.6,0,0,0
0,6,40381,21,3.666666667,5.583333333,0,0,0
0,6,40745,14,4.571428571,5.428571429,0,0,0
0,6,40746,18,2.714285714,5.428571429,0,0,0
0,6,41115,32,3,5.615384615,0,0,0
0,6,41480,29,3.714285714,5.571428571,0,0,0
0,6,41837,9,2.6,5.4,0,0,0
0,6,41843,7,4,5.333333333,0,0,0
0,6,42208,9,3.833333333,5.5,0,0,0
0,6,42937,1,4,5,0,0,0
0,6,43304,2,1,5.5,0,0,0
0,6,43312,4,3.666666667,5.333333333,0,0,0
0,8,37496,1,2,6,0,0,0
0,8,39282,2,2,6,0,0,0
0,8,39658,3,2,5.5,0,0,0
0,8,40022,12,2,5.5,0,0,0
0,8,40385,32,2,5.5,0,0,0
0,8,40749,20,2,5.5,0,0,0
0,8,41114,39,2,5.5,0,0,0
0,8,41485,26,2,5.5,0,0,0
0,8,41837,18,2,5.5,0,0,0
0,8,42207,7,2,6,0,0,0
0,9,38224,101,2.555555556,5.333333333,0,0,0
0,9,38558,14,2.8,5.4,0,0,0
0,9,38922,54,2.571428571,5.571428571,0,0,0
0,9,39289,41,2.666666667,5.5,0,0,0
0,9,39659,56,2.8,5.6,0,0,0
0,9,40023,81,2.8,5.4,0,0,0
0,9,40388,68,2.5,5.5,0,0,0
0,9,40751,114,2.571428571,5.428571429,0,0,0
0,9,41113,163,2.666666667,5.333333333,0,0,0
0,9,41484,53,2.666666667,5.5,0,0,0
0,9,41842,71,2.666666667,5.333333333,0,0,0
0,9,42206,30,2.666666667,5.5,0,0,0
0,9,42571,6,3,5.5,0,0,0
0,9,42934,19,2.666666667,5.333333333,0,0,0
0,9,43300,23,2.571428571,5.428571429,0,0,0
0,10,38229,96,2.428571429,5.085714286,0,0,0
0,10,38560,77,2.833333333,5.166666667,0,0,0
0,10,38922,186,2.5,5.5,0,0,0
0,10,39289,197,2.571428571,5.571428571,0,0,0
0,10,39659,166,2.5,5.5,0,0,0
0,10,40023,200,2.5,5.5,0,0,0
0,10,40388,273,2.5,5.5,0,0,0
0,10,40750,178,2.5,5.5,0,0,0
0,10,41113,137,2.5,5.5,0,0,0
0,10,41484,35,2.571428571,5.571428571,0,0,0
0,10,41842,104,2.5,5.5,0,0,0
0,10,42206,32,2.666666667,5.666666667,0,0,0
0,10,42571,5,3,5.333333333,0,0,0
0,10,42934,38,2.666666667,5.5,0,0,0
0,10,43300,63,2.5,5.5,0,0,0
1,0,36777,68,2.75,3.416666667,2,1,1
1,0,37111,1,4,4,2,1,1
1,0,37118,48,2.5,3,2,1,1
1,0,37489,277,3.086956522,2.782608696,2,1,1
1,0,37854,2,5.5,4.5,2,1,1
1,0,37855,39,1.166666667,2.166666667,2,1,1
1,0,38195,63,1.666666667,2.916666667,2,1,1
1,0,38196,10,4.6,2.4,2,1,1
1,0,38552,82,3.307692308,2.923076923,2,1,1
1,0,38553,21,5.1,2.6,2,1,1
1,0,38919,30,6.8,2.9,2,1,1
1,0,38923,83,2,2.166666667,2,1,1
1,0,39281,75,2.363636364,2.545454545,2,1,1
1,0,39288,51,7,2.111111111,2,1,1
1,0,39653,21,5.545454545,2.545454545,2,1,1
1,0,39654,91,3.6875,2.25,2,1,1
1,0,40018,31,5.642857143,2.714285714,2,1,1
1,0,40024,122,3.55,2.45,2,1,1
1,0,40378,30,6,2.888888889,2,1,1
1,0,40380,101,3.411764706,3,2,1,1
1,0,40742,78,3.333333333,2.833333333,2,1,1
1,0,41110,66,3.411764706,2.823529412,2,1,1
1,0,41477,88,2.444444444,2.888888889,2,1,1
1,0,41836,99,3.307692308,2.230769231,2,1,1
1,0,42213,91,2.545454545,2.363636364,2,1,1
1,0,42570,35,6.461538462,2.153846154,2,1,1
1,0,42573,101,2.75,2.666666667,2,1,1
1,0,42935,220,4.861111111,2.666666667,2,1,1
1,0,43299,131,3.181818182,2.727272727,2,1,1
1,1,36787,17,2.333333333,3.166666667,2,1,1
1,1,37112,69,2.571428571,2.428571429,2,1,1
1,1,37482,18,4.5,3.333333333,2,1,1
1,1,37483,15,3.833333333,2.333333333,2,1,1
1,1,37844,103,2.25,2,2,1,1
1,1,38187,89,2.333333333,2.166666667,2,1,1
1,1,38188,1,7,3,2,1,1
1,1,38551,13,2.6,2.6,2,1,1
1,1,38562,1,6,2,2,1,1
1,1,38915,12,2.4,1.7,2,1,1
1,1,38916,4,5.75,1.25,2,1,1
1,1,39286,10,1.833333333,1.666666667,2,1,1
1,1,39287,6,7.2,2.8,2,1,1
1,1,39657,14,5.777777778,1.888888889,2,1,1
1,1,39661,11,2.375,2.5,2,1,1
1,1,40015,52,4.166666667,1.75,2,1,1
1,1,40016,31,4.444444444,2.444444444,2,1,1
1,1,40386,14,3.7,2.4,2,1,1
1,1,40387,5,5.666666667,1,2,1,1
1,1,40743,5,4.2,0.8,2,1,1
1,1,41108,7,3,2.428571429,2,1,1
1,1,41481,9,5.6,1.8,2,1,1
1,1,41486,5,1.8,2.2,2,1,1
1,1,41844,19,3.428571429,2.714285714,2,1,1
1,1,42212,26,3.823529412,2.705882353,2,1,1
1,1,42577,48,3.722222222,2.555555556,2,1,1
1,1,42940,26,3.933333333,2.6,2,1,1
1,1,42941,11,3.285714286,2.142857143,2,1,1
1,1,43297,25,3.538461538,2.307692308,2,1,1
1,2,36797,45,2.333333333,2,2,1,1
1,2,37120,24,3.222222222,2.555555556,2,1,1
1,2,37132,4,3,0.5,2,1,1
1,2,37487,38,2.1,2.1,2,1,1
1,2,37847,64,3.727272727,2.545454545,2,1,1
1,2,38194,143,3,2.4,2,1,1
1,2,38554,520,3.333333333,2.5,2,1,1
1,2,38917,170,2.571428571,2.428571429,2,1,1
1,2,39282,248,3.4,2.6,2,1,1
1,2,39658,426,3.3125,2.1875,2,1,1
1,2,40022,597,3.333333333,2.5,2,1,1
1,2,40385,654,3.333333333,2.5,2,1,1
1,2,40749,271,3.176470588,2.352941176,2,1,1
1,2,41114,193,3.176470588,2.352941176,2,1,1
1,2,41485,247,3.333333333,2.5,2,1,1
1,2,41837,73,6,1.5,2,1,1
1,2,41843,61,1.909090909,2.272727273,2,1,1
1,2,42207,472,3.333333333,2.5,2,1,1
1,2,42576,313,3.5,2.3125,2,1,1
1,2,42941,521,3.176470588,2.352941176,2,1,1
1,2,43314,508,3.7005577,2.5036465,2,1,1
1,3,37110,1,1,1,2,1,1
1,3,37488,4,2,5,2,1,1
1,3,37860,36,1.75,4.25,2,1,1
1,3,38190,4,1.5,3,2,1,1
1,3,38555,15,1,1.5,2,1,1
1,3,38925,7,1.333333333,1.666666667,2,1,1
1,3,39279,151,1.454545455,2.727272727,2,1,1
1,3,39660,24,1.5,2.5,2,1,1
1,3,40017,25,1.666666667,2.666666667,2,1,1
1,3,40382,8,1.571428571,2.857142857,2,1,1
1,3,40744,15,1.166666667,1.833333333,2,1,1
1,3,41107,3,1.666666667,2.666666667,2,1,1
1,3,41478,84,1.75,2.5,2,1,1
1,3,41838,18,1.8,2.8,2,1,1
1,3,42573,18,1.714285714,3.142857143,2,1,1
1,3,42933,3,1.333333333,3,2,1,1
1,3,43298,2,1,3,2,1,1
1,4,37117,1,1,0,2,1,1
1,4,37481,4,1,0.5,2,1,1
1,4,37859,24,2,2.8,2,1,1
1,4,38189,18,1.666666667,0.666666667,2,1,1
1,4,38918,1,2,2,2,1,1
1,4,39279,3,1.5,2.5,2,1,1
1,4,39651,12,1.5,1.5,2,1,1
1,4,40014,12,1.333333333,1,2,1,1
1,4,40750,4,1.666666667,1,2,1,1
1,4,41109,2,2,2,2,1,1
1,4,41479,2,1,0.5,2,1,1
1,4,42214,2,1.5,5,2,1,1
1,4,42569,7,1.5,2.5,2,1,1
1,4,42933,3,1.666666667,2.666666667,2,1,1
1,4,43298,9,1.5,1.75,2,1,1
1,5,37117,1,1,5,2,1,1
1,5,37481,10,1,2.75,2,1,1
1,5,37859,104,2,2.5,2,1,1
1,5,38189,27,1.8,2.4,2,1,1
1,5,38559,6,1.333333333,4,2,1,1
1,5,38918,6,1.666666667,4,2,1,1
1,5,39283,9,1.25,3.25,2,1,1
1,5,39651,28,1.5,2.25,2,1,1
1,5,40014,43,1.375,2.5,2,1,1
1,5,40379,58,1.5,2.625,2,1,1
1,5,40750,29,1.5,3,2,1,1
1,5,40842,19,3,2.4,2,1,1
1,5,40843,98,7.5,2.5,2,1,1
1,5,40844,49,5.545454545,2.636363636,2,1,1
1,5,41109,256,5.25,2.59375,2,1,1
1,5,41479,258,4.641025641,2.435897436,2,1,1
1,5,41841,71,4.15,2.9,2,1,1
1,5,42209,31,2.444444444,3.111111111,2,1,1
